longitude,latitude,NAME_2,NAME_3,elevasi_m,slope_derajat,source
120.28072288594427,-2.4056203595524384,Luwu Utara,Masamba,1130,42.34318923950195,S2_scar
120.2937167277626,-2.3805582910114618,Luwu Utara,Masamba,1071,21.71419334411621,S2_scar
120.22121065699395,-2.4831972891105702,Luwu Utara,Baebunta,947,21.9125919342041,S2_scar
120.08255839378569,-2.194006577305052,Luwu Utara,Rampi,1917,34.884376525878906,S2_scar
119.90429814363,-2.352769485367447,Luwu Utara,Seko,1217,14.948647499084473,S2_scar
120.07519023658648,-2.5403242056785458,Luwu Utara,Limbong,950,32.5217170715332,S2_scar
120.02893949999618,-2.662798730994556,Luwu Utara,Sabbang,1422,28.512907028198242,S2_scar
119.98897796452842,-1.9995387607245687,Luwu Utara,Seko,2008,33.109130859375,S2_scar
120.3545022984554,-2.4618209701801823,Luwu Utara,Masamba,249,14.948715209960938,S2_scar
119.94279706183661,-2.4893200206578348,Luwu Utara,Limbong,2308,15.082477569580078,S2_scar
119.80288972304285,-2.6068005173188014,Luwu Utara,Limbong,2139,30.956329345703125,S2_scar
120.40373010078855,-2.3501788014784433,Luwu Utara,Masamba,986,25.881275177001953,S2_scar
121.1637131675055,-2.7720477566279644,Luwu Timur,Malili,314,15.421839714050293,S2_scar
121.05023533662977,-2.3417657615369247,Luwu Timur,Wasuponda,1134,13.049703598022461,S2_scar
121.60459956837134,-2.866267754711544,Luwu Timur,Towuti,445,21.853540420532227,S2_scar
120.80658119714381,-2.2530483017593306,Luwu Timur,Mangkutana,1313,16.76552963256836,S2_scar
120.83165877193002,-2.279749710283627,Luwu Timur,Mangkutana,1432,16.339860916137695,S2_scar
121.29160244156319,-2.646480604824405,Luwu Timur,Wasuponda,598,26.50568199157715,S2_scar
121.29897623543879,-2.6605823052913804,Luwu Timur,Towuti,558,26.682071685791016,S2_scar
120.68202041085192,-2.3578967610608355,Luwu Timur,Mangkutana,1849,18.775115966796875,S2_scar
120.8750597748482,-2.30775544330519,Luwu Timur,Wasuponda,1454,22.099102020263672,S2_scar
120.72847713944985,-2.276190655576996,Luwu Timur,Mangkutana,1195,10.382355690002441,S2_scar
121.1715949881766,-2.389469618116718,Luwu Timur,Nuha,1120,11.039454460144043,S2_scar
121.71191180480744,-2.7676149413661744,Luwu Timur,Towuti,646,27.978534698486328,S2_scar
120.69193776673563,-2.4765308099969054,Luwu Timur,Tomoni,754,19.637990951538086,S2_scar
121.43629167048611,-2.9838279775300682,Luwu Timur,Towuti,690,26.37103271484375,S2_scar
121.48876560227212,-2.5703184402374366,Luwu Timur,Towuti,327,18.447832107543945,S2_scar
121.1419593772991,-2.370263617195921,Luwu Timur,Nuha,723,20.270950317382812,S2_scar
121.70693705239425,-2.777074134313275,Luwu Timur,Towuti,639,34.69310760498047,S2_scar
120.63835608792414,-2.615348652110166,Luwu Timur,Burau,70,18.153194427490234,S2_scar
120.6596679567156,-2.3577657710497077,Luwu Timur,Mangkutana,1979,10.260319709777832,S2_scar
120.60653778373127,-2.49228478157419,Luwu Timur,Burau,1705,15.474555969238281,S2_scar
121.74492925017452,-2.693942823669474,Luwu Timur,Towuti,1039,22.908416748046875,S2_scar
