longitude,latitude,NAME_2,NAME_3,elevasi,slope,aspect,twi,curah_hujan,ndvi,jarak_sungai_km,elevasi_rendah,lereng_curam,vegetasi_jarang,label_longsor,source
120.22450965953436,-2.8604163484229446,,,12,0.9274099469184875,180.0,18.190712785868907,3632.447407325916,0.49681317806243896,0.7502926036663492,1,0,1,0,pseudo_absence
120.42528312553509,-2.6771600304625593,,,17,1.3121576309204102,225.03128051757812,16.05183339720089,3861.7612385065295,0.7250455021858215,0.26351471958637274,1,0,0,0,pseudo_absence
120.31667680768504,-3.2102203200590864,,,13,2.623567819595337,314.95501708984375,15.358446671588313,3050.8229377781972,0.40682414174079895,1.160582061385925,1,0,1,0,pseudo_absence
120.45061561654728,-2.6092473949831287,,,30,3.341391086578369,213.71749877929688,15.116159285659561,3866.766058436688,0.49460187554359436,0.35061089155598063,1,0,1,0,pseudo_absence
120.01187843178326,-2.900840536208321,,,1161,23.693140029907227,94.23098754882812,13.792252409934088,3247.8307898890225,0.7372283935546875,1.9194330215283315,0,0,0,1,
120.31182590515078,-2.8003190559153452,,,17,1.312225103378296,134.9657745361328,16.051781959538346,3867.8324970313347,0.7852452397346497,1.3507416468462436,1,0,0,0,pseudo_absence
120.34362626620862,-3.356555879842155,,,108,30.420242309570312,230.6475830078125,12.807892416872393,2984.0526404542848,0.8149909377098083,0.9965382743005327,1,1,0,1,
120.2996986488152,-3.1940506449449373,,,13,4.631956577301025,306.8271484375,14.788519854740231,3087.1095037143677,0.5195627212524414,0.8454525723175168,1,0,1,0,pseudo_absence
119.65183366590816,-2.2702232067564196,,,1566,31.917255401611328,207.91587829589844,12.74888262942151,2423.4702521301806,0.8337269425392151,0.28874918611629535,0,1,0,1,
120.84138276513926,-2.4127858423461888,,,38,1.8543341159820557,180.0,20.968496364351644,3937.617293265174,0.7849120497703552,0.28258800890834407,1,0,0,0,pseudo_absence
120.77131417297795,-2.5720571422205794,,,16,2.0746986865997314,63.458038330078125,15.59342794508728,4000.006130078202,0.7792288661003113,0.3856584094162869,1,0,0,0,pseudo_absence
120.80365352320621,-2.5480721241345847,,,34,3.3426103591918945,236.33609008789062,15.80894080425555,4124.001020398968,0.8574069142341614,0.2892791979291112,1,0,0,0,pseudo_absence
120.21157391944303,-2.570709669294395,,,103,10.383461952209473,314.9711608886719,21.606771715562495,3739.438769055391,0.0763733834028244,0.13520278718019071,1,0,1,1,
120.26277789063789,-2.8981455903559663,,,10,2.933797597885132,108.4129638671875,15.246508881379398,3652.6578652781436,0.6689196825027466,1.267769439750297,1,0,1,0,pseudo_absence
120.54143529177173,-2.535675373213735,,,955,31.84173011779785,262.5113830566406,13.44496905310138,3527.382601025235,0.043273523449897766,1.1321413913673573,0,1,1,1,
120.13234251138368,-3.102152991379505,,,436,23.66643524169922,355.7574157714844,14.198984712912887,2940.9529600476844,0.8150056004524231,0.4725776556034871,1,0,0,1,
120.18219900965232,-2.822687106489923,,,27,3.343130111694336,56.3420295715332,16.21425007805178,3779.9791603669523,0.19377747178077698,0.9479495029308693,1,0,1,0,pseudo_absence
120.09946417198495,-2.6779685142182714,,,828,24.858713150024414,126.4393081665039,13.044815206446394,3548.970867152326,0.7822908163070679,0.595181559323225,0,0,0,1,
120.38189449731209,-3.4759419811016414,,,9,2.6239230632781982,314.947265625,16.051458267043643,2843.3299242255744,0.7135571837425232,0.18685262099434924,1,0,0,0,pseudo_absence
120.10566254744538,-3.2697786233962063,,,487,27.343124389648438,57.84634017944336,12.934988522154903,3183.3549656152727,0.7502965331077576,0.5196765550988973,0,1,0,1,
120.89339522008976,-2.5386398136513293,,,13,3.341334342956543,146.28396606445312,15.116176306404238,4160.5692964422315,0.7160778641700745,1.0318379135990607,1,0,0,0,pseudo_absence
120.38189449731209,-3.2158797063490354,,,14,1.8572567701339722,90.0,15.704230193641608,3076.056052702479,0.8464240431785583,1.00944535147787,1,0,0,0,pseudo_absence
119.80302012822551,-2.6068219437159996,,,2139,30.956329345703125,176.90274047851562,12.786573577665022,3002.4477161492223,0.6778202056884766,0.41012230011364553,0,1,0,1,
120.0975777098883,-2.91727970590771,,,318,32.568756103515625,210.49803161621094,17.700416506755687,3223.775857700687,0.8717097043991089,0.15292475754219464,1,1,0,1,
120.36788077887985,-3.511245771767534,,,18,2.7802884578704834,0.0,15.993488240150002,2886.610959741846,0.8506916165351868,0.9083005108819726,1,0,0,0,pseudo_absence
120.0722452188761,-3.134761836193043,,,654,19.308244705200195,326.27032470703125,13.32425797404398,2993.309400586225,0.7264387011528015,1.3072984015630449,0,0,0,1,
121.71185027545107,-2.7677102111018073,,,646,27.978534698486328,322.3990783691406,12.908016252094532,3840.5039337144235,0.7948182225227356,1.1033134856529825,0,1,0,1,
120.36734178970937,-2.5758300664138787,,,41,4.630350112915039,126.84210205078125,16.175162613481707,3862.87909645359,0.8397884368896484,0.6048091157857692,1,0,0,0,pseudo_absence
120.21507734905111,-3.134761836193043,,,237,20.858875274658203,347.7174072265625,14.626597640590774,3134.1324525546283,0.683478832244873,0.8490194375251393,1,0,0,1,
120.3810860135564,-3.4449501037995134,,,4,2.0760278701782227,63.47637939453125,15.592786926251156,2871.1783771593123,-0.1344902366399765,0.735378313971702,1,0,1,0,pseudo_absence
120.44387825191637,-2.6534445069618044,,,14,3.3428032398223877,303.6617126464844,15.808882971184858,3861.7612385065295,0.8331336975097656,0.7595590910691971,1,0,0,0,pseudo_absence
